% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   51  0.23108780E-02 -0.16940659E-19  0.35841462E-14 -0.28959164E-08  0.26393337E-14 -0.15028019E-09  
   52  0.23599238E-02 -0.13552527E-19  0.35151842E-14 -0.57918026E-08  0.28955352E-14 -0.14739737E-09  
   53  0.24089696E-02 -0.15246593E-19  0.34478942E-14 -0.86877865E-08  0.24147454E-14 -0.14456864E-09  
   54  0.24580154E-02  0.67762636E-20  0.33821323E-14 -0.11583694E-07  0.53197608E-14 -0.14180755E-09  
   55  0.25070612E-02  0.50821977E-20  0.33178713E-14 -0.14479626E-07  0.46394560E-14 -0.13911013E-09  
   56  0.25561071E-02  0.13552527E-19  0.32551654E-14 -0.17375431E-07  0.54513874E-14 -0.13646136E-09  
   57  0.26051529E-02 -0.22022857E-19  0.31937928E-14 -0.20271290E-07 -0.19957355E-16 -0.13388650E-09  
   58  0.26541987E-02 -0.15246593E-19  0.31338720E-14 -0.23166997E-07  0.93862659E-15 -0.13136074E-09  
   59  0.27032445E-02  0.50821977E-20  0.30750032E-14  0.28421709E-13  0.37336186E-14 -0.12893462E-09  
   60  0.27522903E-02 -0.16940659E-20  0.30175701E-14 -0.28958524E-08  0.24718249E-14 -0.12654395E-09  
   61  0.28013361E-02  0.20328791E-19  0.29615236E-14 -0.57914811E-08  0.53841288E-14 -0.12419098E-09  
   62  0.28503819E-02  0.15246593E-19  0.29066579E-14 -0.86871825E-08  0.42298627E-14 -0.12190000E-09  
   63  0.28994277E-02 -0.33881318E-20  0.28530865E-14 -0.11582884E-07  0.12530829E-14 -0.11964825E-09  
   64  0.29484735E-02 -0.20328791E-19  0.28006162E-14 -0.14478406E-07 -0.12444449E-14 -0.11745825E-09  
   65  0.29975193E-02 -0.30092655E-35  0.27494571E-14 -0.17374024E-07  0.17322833E-14 -0.11529371E-09  
   66  0.30465651E-02 -0.15246593E-19  0.26994245E-14 -0.20269736E-07 -0.56440544E-15 -0.11317717E-09  
   67  0.30956109E-02 -0.66068570E-19  0.26503102E-14 -0.23165152E-07 -0.77165600E-14 -0.11113279E-09  
   68  0.31446567E-02  0.13552527E-19  0.26023037E-14 -0.74606987E-13  0.41736384E-14 -0.10912650E-09  
   69  0.31937025E-02 -0.13552527E-19  0.25554171E-14 -0.28955967E-08  0.33433983E-17 -0.10715219E-09  
   70  0.32427483E-02  0.23716923E-19  0.25095892E-14 -0.57909162E-08  0.52855800E-14 -0.10521459E-09  
   71  0.32917941E-02  0.59292306E-19  0.24646202E-14 -0.86863174E-08  0.99148610E-14 -0.10333781E-09  
   72  0.33408400E-02  0.86397361E-19  0.24205406E-14 -0.11581800E-07  0.12983879E-13 -0.10151144E-09  
   73  0.33898858E-02  0.10672615E-18  0.23776333E-14 -0.14477125E-07  0.14856245E-13 -0.99690172E-10  
   74  0.34389316E-02  0.10503209E-18  0.23354816E-14 -0.17372527E-07  0.13462397E-13 -0.97931488E-10  
   75  0.34879774E-02  0.96561756E-19  0.22942853E-14 -0.20267896E-07  0.11218379E-13 -0.96200970E-10  
   76  0.35370232E-02  0.72844833E-19  0.22540004E-14 -0.23163107E-07  0.69858430E-14 -0.94501527E-10  
   77  0.35860690E-02  0.91479558E-19  0.22145388E-14 -0.26058322E-07  0.90954047E-14 -0.92842138E-10  
   78  0.36351148E-02  0.30493186E-19  0.21758735E-14 -0.90594199E-13 -0.26511881E-15 -0.91222475E-10  
   79  0.36841606E-02  0.22022857E-19  0.21379501E-14 -0.28952201E-08 -0.14485041E-14 -0.89646134E-10  
   80  0.37332064E-02  0.44045713E-19  0.21008619E-14 -0.57904099E-08  0.17920182E-14 -0.88095533E-10  
   81  0.37822522E-02  0.69456702E-19  0.20646479E-14 -0.86853422E-08  0.52689422E-14 -0.86562163E-10  
   82  0.38312980E-02  0.12705494E-18  0.20291301E-14 -0.11580315E-07  0.13061933E-13 -0.85069024E-10  
   83  0.38803438E-02  0.12197274E-18  0.19942357E-14 -0.14475338E-07  0.11354693E-13 -0.83622481E-10  
   84  0.39293896E-02  0.91479558E-19  0.19603002E-14 -0.17370223E-07  0.61629483E-14 -0.82170378E-10  
   85  0.39784354E-02  0.13383121E-18  0.19267238E-14 -0.20265192E-07  0.11729403E-13 -0.80797562E-10  
   86  0.40274812E-02  0.10333802E-18  0.18941334E-14 -0.23160080E-07  0.65129398E-14 -0.79408008E-10  
   87  0.40765270E-02  0.13213714E-18  0.18621223E-14 -0.26054801E-07  0.10129574E-13 -0.78059989E-10  
   88  0.41255729E-02  0.28799120E-19  0.18307482E-14 -0.58619776E-13 -0.53408881E-14 -0.76741379E-10  
   89  0.41746187E-02  0.18634725E-19  0.17998146E-14 -0.28948772E-08 -0.63943597E-14 -0.75477184E-10  
   90  0.42236645E-02  0.71150768E-19  0.17697212E-14 -0.57898042E-08  0.15608990E-14 -0.74205639E-10  
   91  0.42727103E-02 -0.71150768E-19  0.17400920E-14 -0.86842764E-08 -0.18838634E-13 -0.72980116E-10  
   92  0.43217561E-02 -0.71150768E-19  0.17116418E-14 -0.11579056E-07 -0.17459656E-13 -0.71694566E-10  
   93  0.43708019E-02  0.45739779E-19  0.16831273E-14 -0.14473740E-07  0.48530585E-15 -0.70529941E-10  
   94  0.44198477E-02  0.30493186E-19  0.16555174E-14 -0.17368231E-07 -0.17250093E-14 -0.69338509E-10  
   95  0.44688935E-02  0.99949888E-19  0.16281820E-14 -0.20262876E-07  0.83109184E-14 -0.68211429E-10  
   96  0.45179393E-02  0.14568967E-18  0.16016190E-14 -0.23157583E-07  0.14238460E-13 -0.67072297E-10  
   97  0.45669851E-02  0.13891340E-18  0.15753237E-14 -0.26051833E-07  0.12245131E-13 -0.65993381E-10  
   98  0.46160309E-02  0.33881318E-20  0.15492453E-14  0.15099033E-12 -0.79868231E-14 -0.64976981E-10  
   99  0.46650767E-02 -0.84703295E-20  0.15241494E-14 -0.28942519E-08 -0.91086574E-14 -0.63908658E-10  
  100  0.47141225E-02 -0.11858461E-19  0.14992686E-14 -0.57890421E-08 -0.89424832E-14 -0.62901138E-10  
