%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
   52  0.20206709E-02 -0.52000000E-02  0.20206709E-02  0.81203416E-08 -0.14710353E+03  0.81203297E-08  
   53  0.20668863E-02 -0.53000000E-02  0.20668863E-02  0.85548856E-08 -0.14809659E+03  0.85548824E-08  
   54  0.21130973E-02 -0.54000000E-02  0.21130973E-02  0.89851677E-08 -0.14908974E+03  0.89851820E-08  
   55  0.21593040E-02 -0.55000000E-02  0.21593040E-02  0.94104487E-08 -0.15008298E+03  0.94104341E-08  
   56  0.22055066E-02 -0.56000000E-02  0.22055066E-02  0.98301511E-08 -0.15107630E+03  0.98301760E-08  
   57  0.22517054E-02 -0.57000000E-02  0.22517054E-02  0.10243937E-07 -0.15206970E+03  0.10243935E-07  
   58  0.22979004E-02 -0.58000000E-02  0.22979004E-02  0.10651164E-07 -0.15306318E+03  0.10651176E-07  
   59  0.23440918E-02 -0.59000000E-02  0.23440918E-02  0.11051645E-07 -0.15405673E+03  0.11051665E-07  
   60  0.23902798E-02 -0.60000000E-02  0.23902798E-02  0.11445032E-07 -0.15505036E+03  0.11445038E-07  
   61  0.24364645E-02 -0.61000000E-02  0.24364645E-02  0.11831091E-07 -0.15604405E+03  0.11831123E-07  
   62  0.24826461E-02 -0.62000000E-02  0.24826461E-02  0.12209671E-07 -0.15703781E+03  0.12209658E-07  
   63  0.25288246E-02 -0.63000000E-02  0.25288246E-02  0.12580515E-07 -0.15803163E+03  0.12580492E-07  
   64  0.25750003E-02 -0.64000000E-02  0.25750003E-02  0.12943610E-07 -0.15902551E+03  0.12943603E-07  
   65  0.26211731E-02 -0.65000000E-02  0.26211731E-02  0.13298864E-07 -0.16001946E+03  0.13298888E-07  
   66  0.26673433E-02 -0.66000000E-02  0.26673433E-02  0.13646265E-07 -0.16101345E+03  0.13646281E-07  
   67  0.27135109E-02 -0.67000000E-02  0.27135109E-02  0.13985800E-07 -0.16200751E+03  0.13985780E-07  
   68  0.27596761E-02 -0.68000000E-02  0.27596761E-02  0.14317343E-07 -0.16300161E+03  0.14317331E-07  
   69  0.28058388E-02 -0.69000000E-02  0.28058388E-02  0.14641126E-07 -0.16399576E+03  0.14641120E-07  
   70  0.28519993E-02 -0.70000000E-02  0.28519993E-02  0.14957076E-07 -0.16498997E+03  0.14957064E-07  
   71  0.28981577E-02 -0.71000000E-02  0.28981577E-02  0.15265342E-07 -0.16598421E+03  0.15265330E-07  
   72  0.29443139E-02 -0.72000000E-02  0.29443139E-02  0.15565894E-07 -0.16697851E+03  0.15565910E-07  
   73  0.29904680E-02 -0.73000000E-02  0.29904680E-02  0.15858933E-07 -0.16797284E+03  0.15858952E-07  
   74  0.30366203E-02 -0.74000000E-02  0.30366203E-02  0.16144511E-07 -0.16896722E+03  0.16144521E-07  
   75  0.30827707E-02 -0.75000000E-02  0.30827707E-02  0.16422756E-07 -0.16996164E+03  0.16422811E-07  
   76  0.31289192E-02 -0.76000000E-02  0.31289192E-02  0.16693853E-07 -0.17095609E+03  0.16693842E-07  
   77  0.31750661E-02 -0.77000000E-02  0.31750661E-02  0.16957823E-07 -0.17195059E+03  0.16957827E-07  
   78  0.32212112E-02 -0.78000000E-02  0.32212112E-02  0.17214877E-07 -0.17294511E+03  0.17214871E-07  
   79  0.32673548E-02 -0.79000000E-02  0.32673548E-02  0.42545374E-10 -0.17393968E+03  0.42580583E-10  
   80  0.33134968E-02 -0.80000000E-02  0.33134968E-02  0.43392498E-10 -0.17493427E+03  0.43369761E-10  
   81  0.33596373E-02 -0.81000000E-02  0.33596373E-02  0.44115990E-10 -0.17592890E+03  0.44107921E-10  
   82  0.34057764E-02 -0.82000000E-02  0.34057764E-02  0.44888118E-10 -0.17692356E+03  0.44876776E-10  
   83  0.34519141E-02 -0.83000000E-02  0.34519141E-02  0.45621845E-10 -0.17791824E+03  0.45633715E-10  
