%Step      TotalEne.   Elastic Ene.   Plastic Ene.
   61  0.7645228E+02  0.1289874E+02  0.6355354E+02
   62  0.7908487E+02  0.1332511E+02  0.6575976E+02
   63  0.8175997E+02  0.1375842E+02  0.6800155E+02
   64  0.8447760E+02  0.1419866E+02  0.7027894E+02
   65  0.8723774E+02  0.1464584E+02  0.7259190E+02
   66  0.9004040E+02  0.1509995E+02  0.7494045E+02
   67  0.9288557E+02  0.1556099E+02  0.7732458E+02
   68  0.9577326E+02  0.1602896E+02  0.7974430E+02
   69  0.9870347E+02  0.1650387E+02  0.8219960E+02
   70  0.1016762E+03  0.1698571E+02  0.8469049E+02
   71  0.1046914E+03  0.1747448E+02  0.8721696E+02
   72  0.1077492E+03  0.1797018E+02  0.8977902E+02
   73  0.1108495E+03  0.1847282E+02  0.9237665E+02
   74  0.1139923E+03  0.1898239E+02  0.9500988E+02
   75  0.1171776E+03  0.1949890E+02  0.9767868E+02
   76  0.1204054E+03  0.2002233E+02  0.1003831E+03
   77  0.1236758E+03  0.2055270E+02  0.1031230E+03
   78  0.1269886E+03  0.2109001E+02  0.1058986E+03
   79  0.1303440E+03  0.2163424E+02  0.1087098E+03
   80  0.1337419E+03  0.2218541E+02  0.1115565E+03
   81  0.1371823E+03  0.2274351E+02  0.1144388E+03
   82  0.1406652E+03  0.2330855E+02  0.1173567E+03
   83  0.1441907E+03  0.2388052E+02  0.1203102E+03
   84  0.1477586E+03  0.2445942E+02  0.1232992E+03
   85  0.1513691E+03  0.2504525E+02  0.1263239E+03
   86  0.1550221E+03  0.2563802E+02  0.1293841E+03
   87  0.1587176E+03  0.2623772E+02  0.1324799E+03
   88  0.1624557E+03  0.2684435E+02  0.1356113E+03
   89  0.1662362E+03  0.2745791E+02  0.1387783E+03
   90  0.1700593E+03  0.2807841E+02  0.1419809E+03
   91  0.1739249E+03  0.2870584E+02  0.1452190E+03
   92  0.1778330E+03  0.2934021E+02  0.1484928E+03
   93  0.1817836E+03  0.2998150E+02  0.1518021E+03
   94  0.1857767E+03  0.3062973E+02  0.1551470E+03
   95  0.1898124E+03  0.3128490E+02  0.1585275E+03
   96  0.1938905E+03  0.3194699E+02  0.1619435E+03
   97  0.1980112E+03  0.3261602E+02  0.1653952E+03
   98  0.2021744E+03  0.3329198E+02  0.1688824E+03
   99  0.2063801E+03  0.3397488E+02  0.1724053E+03
  100  0.2106284E+03  0.3466471E+02  0.1759637E+03
