%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.3466471E-02  0.3466471E-02  0.0000000E+00
    2  0.1386588E-01  0.1386588E-01  0.0000000E+00
    3  0.3119823E-01  0.3119823E-01  0.0000000E+00
    4  0.5546353E-01  0.5546353E-01  0.0000000E+00
    5  0.8666176E-01  0.8666176E-01  0.0000000E+00
    6  0.1247929E+00  0.1247929E+00  0.0000000E+00
    7  0.1698571E+00  0.1698571E+00  0.0000000E+00
    8  0.2218541E+00  0.2218541E+00  0.0000000E+00
    9  0.2807841E+00  0.2807841E+00  0.0000000E+00
   10  0.3466471E+00  0.3466471E+00  0.0000000E+00
   11  0.4194429E+00  0.4194429E+00  0.0000000E+00
   12  0.4991718E+00  0.4991718E+00  0.0000000E+00
   13  0.5858335E+00  0.5858335E+00  0.0000000E+00
   14  0.6797886E+00  0.6794282E+00  0.3604211E-03
   15  0.1314078E+01  0.7799559E+00  0.5341217E+00
   16  0.1990884E+01  0.8874165E+00  0.1103467E+01
   17  0.2710207E+01  0.1001810E+01  0.1708397E+01
   18  0.3472047E+01  0.1123136E+01  0.2348910E+01
   19  0.4276404E+01  0.1251396E+01  0.3025008E+01
   20  0.5123278E+01  0.1386588E+01  0.3736690E+01
   21  0.6012669E+01  0.1528714E+01  0.4483956E+01
   22  0.6944577E+01  0.1677772E+01  0.5266806E+01
   23  0.7919002E+01  0.1833763E+01  0.6085240E+01
   24  0.8935945E+01  0.1996687E+01  0.6939258E+01
   25  0.9995404E+01  0.2166544E+01  0.7828860E+01
   26  0.1109738E+02  0.2343334E+01  0.8754046E+01
   27  0.1224187E+02  0.2527057E+01  0.9714817E+01
   28  0.1342888E+02  0.2717713E+01  0.1071117E+02
   29  0.1465841E+02  0.2915302E+01  0.1174311E+02
   30  0.1593046E+02  0.3119823E+01  0.1281063E+02
   31  0.1724502E+02  0.3331278E+01  0.1391374E+02
   32  0.1860210E+02  0.3549666E+01  0.1505243E+02
   33  0.2000169E+02  0.3774986E+01  0.1622670E+02
   34  0.2144380E+02  0.4007240E+01  0.1743656E+02
   35  0.2292843E+02  0.4246426E+01  0.1868201E+02
   36  0.2445558E+02  0.4492546E+01  0.1996303E+02
   37  0.2602524E+02  0.4745598E+01  0.2127965E+02
   38  0.2763742E+02  0.5005583E+01  0.2263184E+02
   39  0.2929212E+02  0.5272502E+01  0.2401962E+02
   40  0.3098934E+02  0.5546353E+01  0.2544298E+02
   41  0.3272907E+02  0.5827137E+01  0.2690193E+02
   42  0.3451132E+02  0.6114854E+01  0.2839646E+02
   43  0.3633608E+02  0.6409504E+01  0.2992658E+02
   44  0.3820337E+02  0.6711087E+01  0.3149228E+02
   45  0.4011317E+02  0.7019603E+01  0.3309356E+02
   46  0.4206548E+02  0.7335052E+01  0.3473043E+02
   47  0.4406032E+02  0.7657433E+01  0.3640288E+02
   48  0.4609767E+02  0.7986748E+01  0.3811092E+02
   49  0.4817754E+02  0.8322996E+01  0.3985454E+02
   50  0.5029992E+02  0.8666176E+01  0.4163374E+02
   51  0.5246482E+02  0.9016290E+01  0.4344853E+02
   52  0.5467224E+02  0.9373336E+01  0.4529890E+02
   53  0.5692218E+02  0.9737316E+01  0.4718486E+02
   54  0.5921463E+02  0.1010823E+02  0.4910640E+02
   55  0.6154960E+02  0.1048607E+02  0.5106353E+02
   56  0.6392709E+02  0.1087085E+02  0.5305624E+02
   57  0.6634709E+02  0.1126256E+02  0.5508453E+02
   58  0.6880961E+02  0.1166121E+02  0.5714841E+02
   59  0.7131465E+02  0.1206678E+02  0.5924787E+02
   60  0.7386221E+02  0.1247929E+02  0.6138291E+02
