% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
    1  0.55855380E-04 -0.89997251E-20  0.52145466E-20 -0.44408921E-15 -0.13845731E-14  0.80223794E-15  
    2  0.11171076E-03 -0.17999450E-19  0.10429093E-19 -0.88817842E-15 -0.27691462E-14  0.16044759E-14  
    3  0.16756614E-03 -0.47116208E-19  0.16093626E-19 -0.35527137E-14 -0.72486473E-14  0.24759425E-14  
    4  0.22342152E-03 -0.35998900E-19  0.20858186E-19 -0.17763568E-14 -0.55382923E-14  0.32089517E-14  
    5  0.27927690E-03 -0.23081648E-19  0.17046538E-19  0.11546319E-13 -0.35510227E-14  0.26225443E-14  
    6  0.33513228E-03 -0.27105054E-19  0.13234890E-19  0.17763568E-14 -0.41700084E-14  0.20361369E-14  
    7  0.39098766E-03  0.42351647E-21  0.19693516E-19  0.12434498E-13  0.65156381E-16  0.30297717E-14  
    8  0.44684304E-03  0.16940659E-19  0.20328791E-19  0.17763568E-14  0.26062552E-14  0.31275063E-14  
    9  0.50269842E-03  0.11011428E-19  0.24352197E-19 -0.21693675E-29  0.16940659E-14  0.37464919E-14  
   10  0.55855380E-03 -0.18634725E-19  0.44257471E-19  0.40856207E-13 -0.28668807E-14  0.68088418E-14  
   11  0.61440918E-03 -0.74115383E-19  0.50610219E-19  0.21316282E-13 -0.11402367E-13  0.77861875E-14  
   12  0.67026456E-03 -0.13129011E-19  0.69456702E-19  0.14210855E-13 -0.20198478E-14  0.10685646E-13  
   13  0.72611994E-03 -0.16940659E-19  0.70727251E-19  0.21316282E-13 -0.26062552E-14  0.10881116E-13  
   14  0.78197532E-03  0.13552527E-19  0.82585712E-19  0.28421709E-13  0.20850042E-14  0.12705494E-13  
   15  0.83783070E-03 -0.62680438E-19  0.11138483E-18  0.39079850E-13 -0.96431443E-14  0.17136128E-13  
   16  0.12003289E-02 -0.92326591E-19 -0.25834505E-19 -0.31974423E-13 -0.12278502E-13 -0.34357275E-14  
   17  0.17216458E-02 -0.12705494E-18 -0.56751207E-19  0.24868996E-13 -0.14395947E-13 -0.66926672E-14  
   18  0.22429627E-02 -0.19397054E-18 -0.10926725E-18  0.46185278E-13 -0.20378545E-13 -0.12192186E-13  
   19  0.27642795E-02 -0.12874901E-18 -0.18126505E-18  0.56843419E-13 -0.86170556E-14 -0.19383153E-13  
   20  0.32855964E-02 -0.27105054E-19 -0.81315163E-19 -0.46185278E-13  0.58973765E-14 -0.33653484E-14  
   21  0.38069133E-02 -0.13044307E-18 -0.11858461E-19  0.21316282E-13 -0.84653956E-14  0.61964384E-14  
   22  0.43282302E-02  0.15246593E-19 -0.10842022E-18  0.99475983E-13  0.11889924E-13 -0.73813076E-14  
   23  0.48495471E-02  0.69456702E-19 -0.27613274E-18  0.21316282E-13  0.17355811E-13 -0.28468791E-13  
   24  0.53708639E-02  0.19651164E-18 -0.36083604E-18 -0.42632564E-13  0.31848376E-13 -0.35816046E-13  
   25  0.58921808E-02  0.16263033E-18 -0.44045713E-18 -0.56843419E-13  0.23114341E-13 -0.41710719E-13  
   26  0.64134977E-02  0.19651164E-18 -0.61325185E-18 -0.78159701E-13  0.24707398E-13 -0.59568215E-13  
   27  0.69348146E-02 -0.26427428E-18 -0.71150768E-18 -0.24158453E-12 -0.40473297E-13 -0.65451454E-13  
   28  0.74561315E-02 -0.14907780E-18 -0.42351647E-18  0.49737992E-13 -0.20026569E-13 -0.18613184E-13  
