% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   29  0.79774483E-02  0.91479558E-19 -0.60647559E-18 -0.42632564E-13  0.15010767E-13 -0.41332237E-13  
   30  0.84987652E-02 -0.21006417E-18 -0.83009229E-18 -0.56843419E-13 -0.27845324E-13 -0.67202727E-13  
   31  0.90200821E-02 -0.28460307E-18 -0.72167207E-18  0.10658141E-12 -0.35011202E-13 -0.44994457E-13  
   32  0.95413990E-02 -0.30831999E-18 -0.11011428E-17  0.14210855E-13 -0.34547887E-13 -0.92379122E-13  
   33  0.10062716E-01 -0.91479558E-19 -0.12095630E-17 -0.21316282E-13 -0.10649102E-14 -0.97774207E-13  
   34  0.10584033E-01 -0.22022857E-18 -0.14399560E-17 -0.34816594E-12 -0.18769787E-13 -0.11979894E-12  
   35  0.11105350E-01 -0.29137933E-18 -0.16263033E-17 -0.55422333E-12 -0.26799638E-13 -0.13389669E-12  
   36  0.11626667E-01 -0.67762636E-19 -0.15585406E-17 -0.42632564E-12  0.68755007E-14 -0.11165821E-12  
   37  0.12147983E-01 -0.24394549E-18 -0.17076184E-17 -0.44764192E-12 -0.18341468E-13 -0.12203126E-12  
   38  0.12669300E-01 -0.12197274E-18 -0.16059745E-17 -0.47606363E-12  0.38498191E-15 -0.96701190E-13  
   39  0.13190617E-01 -0.63696878E-18 -0.19583402E-17 -0.44764192E-12 -0.71830120E-13 -0.13748433E-12  
   40  0.13711934E-01 -0.58953493E-18 -0.19989978E-17 -0.21316282E-13 -0.58922035E-13 -0.13124241E-12  
   41  0.14233251E-01 -0.91479558E-18 -0.18363674E-17 -0.34106051E-12 -0.99700206E-13 -0.97193318E-13  
   42  0.14754568E-01 -0.15314356E-17 -0.23581397E-17 -0.65369932E-12 -0.17839040E-12 -0.16271043E-12  
   43  0.15275885E-01 -0.88091427E-18 -0.26766241E-17 -0.34106051E-12 -0.71938134E-13 -0.19448145E-12  
   44  0.15797202E-01 -0.80637537E-18 -0.27714918E-17 -0.21316282E-12 -0.55653067E-13 -0.19241988E-12  
   45  0.16318518E-01 -0.84025668E-18 -0.33000404E-17  0.25243549E-28 -0.56115915E-13 -0.25237405E-12  
   46  0.16839835E-01 -0.98255822E-18 -0.27443867E-17  0.19895197E-12 -0.72043262E-13 -0.15412712E-12  
   47  0.17361152E-01 -0.71150768E-18 -0.32864878E-17  0.35527137E-12 -0.28068546E-13 -0.21972139E-12  
   48  0.17882469E-01 -0.12603850E-17 -0.29205696E-17  0.68212103E-12 -0.10423977E-12 -0.15141173E-12  
   49  0.18403786E-01 -0.83348042E-18 -0.31509626E-17  0.62527761E-12 -0.35780862E-13 -0.17337985E-12  
   50  0.18925103E-01 -0.14840017E-17 -0.29883322E-17  0.82422957E-12 -0.12624426E-12 -0.13785828E-12  
   51  0.19446420E-01 -0.70473141E-18 -0.24597837E-17  0.11084467E-11 -0.59147852E-14 -0.52613785E-13  
   52  0.19967737E-01 -0.73861273E-18 -0.30967525E-17  0.13500312E-11 -0.10367886E-13 -0.14033030E-12  
   53  0.20489053E-01 -0.13688052E-17 -0.22090619E-17  0.14779289E-11 -0.10012515E-12 -0.35102651E-14  
   54  0.21010370E-01 -0.58275867E-18 -0.30831999E-17  0.14210855E-11  0.19434318E-13 -0.12890118E-12  
   55  0.21531687E-01 -0.83348042E-18 -0.25275463E-17  0.16058266E-11 -0.17898751E-13 -0.40604131E-13  
   56  0.22053004E-01 -0.11655173E-17 -0.30222136E-17  0.17763568E-11 -0.64588408E-13 -0.10927454E-12  
   57  0.22574321E-01 -0.84025668E-18 -0.26156377E-17  0.18047785E-11 -0.13637063E-13 -0.43797789E-13  
   58  0.23095638E-01 -0.79959910E-18 -0.33203692E-17  0.24868996E-11 -0.69271504E-14 -0.14283796E-12  
   59  0.23616955E-01 -0.13959103E-17 -0.28866883E-17  0.23447910E-11 -0.92684016E-13 -0.71501942E-13  
   60  0.24138272E-01 -0.67762636E-19 -0.31577388E-17  0.23590019E-11  0.10498211E-12 -0.10644489E-12  
   61  0.24659589E-01 -0.86736174E-18 -0.23716923E-17  0.23447910E-11 -0.16973328E-13  0.13634051E-13  
   62  0.25180905E-01 -0.78604658E-18 -0.25885327E-17  0.29984903E-11 -0.42049810E-14 -0.18584335E-13  
   63  0.25702222E-01 -0.54210109E-19 -0.24259024E-17  0.29700686E-11  0.10220614E-12  0.60688113E-14  
   64  0.26223539E-01 -0.42012834E-18 -0.22361670E-17  0.30695446E-11  0.43332211E-13  0.33278385E-13  
   65  0.26744856E-01 -0.10435446E-17 -0.35372096E-17  0.35385028E-11 -0.49667605E-13 -0.15764451E-12  
   66  0.27266173E-01 -0.25749802E-18 -0.25614276E-17  0.35669245E-11  0.67374506E-13 -0.71136840E-14  
   67  0.27787490E-01 -0.89446679E-18 -0.23716923E-17  0.33679726E-11 -0.28973602E-13  0.20888885E-13  
   68  0.28308807E-01  0.54210109E-19 -0.30764237E-17  0.35811354E-11  0.11077213E-12 -0.82888585E-13  
   69  0.28830124E-01 -0.67762636E-18 -0.20464316E-17  0.42064130E-11 -0.17229841E-14  0.71618388E-13  
   70  0.29351440E-01 -0.10977547E-17 -0.26698478E-17  0.40216719E-11 -0.62933788E-13 -0.23038257E-13  
   71  0.29872757E-01 -0.14907780E-18 -0.26698478E-17  0.42348347E-11  0.78789809E-13 -0.21865289E-13  
   72  0.30394074E-01  0.14907780E-18 -0.26698478E-17  0.41922021E-11  0.11839670E-12 -0.20766726E-13  
   73  0.30915391E-01 -0.86736174E-18 -0.16127507E-17  0.46185278E-11 -0.36095323E-13  0.13482884E-12  
   74  0.31436708E-01 -0.44723340E-18 -0.28324782E-17  0.36806114E-11  0.27142758E-13 -0.50235874E-13  
   75  0.31958025E-01 -0.85380921E-18 -0.30493186E-17  0.35953462E-11 -0.33696138E-13 -0.79555771E-13  
   76  0.32479342E-01 -0.11519648E-17 -0.39166803E-17  0.32684966E-11 -0.75768997E-13 -0.20283098E-12  
   77  0.33000659E-01 -0.84025668E-18 -0.21548518E-17  0.31405989E-11 -0.26502932E-13  0.65004131E-13  
   78  0.33521975E-01 -0.65052130E-18 -0.26427428E-17  0.25579538E-11  0.25620205E-14 -0.95878364E-14  
   79  0.34043292E-01 -0.13281477E-17 -0.17753811E-17  0.20463631E-11 -0.97011018E-13  0.11815581E-12  
   80  0.34564609E-01 -0.90801932E-18 -0.25072175E-17  0.20179414E-11 -0.30904521E-13  0.53126498E-14  
   81  0.35085926E-01 -0.66407383E-18 -0.15314356E-17  0.15631940E-11  0.63279975E-14  0.14845237E-12  
   82  0.35607243E-01 -0.19922215E-17 -0.10299921E-17  0.15205615E-11 -0.18921365E-12  0.21558389E-12  
   83  0.36128560E-01 -0.19515639E-17 -0.10164395E-17  0.85265128E-12 -0.17493117E-12  0.20811849E-12  
   84  0.36649877E-01 -0.14907780E-17 -0.15043305E-17  0.90949470E-12 -0.99528128E-13  0.12728678E-12  
   85  0.37171194E-01 -0.21548518E-17 -0.14772255E-17  0.39790393E-12 -0.19304316E-12  0.12581890E-12  
   86  0.37692511E-01 -0.13145951E-17 -0.13145951E-17  0.28421709E-12 -0.61068281E-13  0.14444184E-12  
   87  0.38213827E-01 -0.15043305E-17 -0.14636729E-17 -0.59685590E-12 -0.86472618E-13  0.11641042E-12  
   88  0.38735144E-01 -0.21684043E-17 -0.15043305E-17  0.85265128E-13 -0.18081193E-12  0.10558546E-12  
   89  0.39256461E-01 -0.17076184E-17 -0.15585406E-17 -0.82422957E-12 -0.10541068E-12  0.93254561E-13  
   90  0.39777778E-01 -0.19515639E-17 -0.13823578E-17 -0.14495072E-11 -0.13713710E-12  0.11547279E-12  
   91  0.40299095E-01 -0.17482760E-17 -0.98933448E-18 -0.16484591E-11 -0.10160918E-12  0.16886986E-12  
   92  0.40820412E-01 -0.19380114E-17 -0.13688052E-17 -0.19042545E-11 -0.12559941E-12  0.10609730E-12  
   93  0.41341729E-01 -0.88091427E-18 -0.54210109E-18 -0.24158453E-11  0.35573988E-13  0.22410438E-12  
   94  0.41863046E-01 -0.19244589E-17 -0.15585406E-17 -0.31832315E-11 -0.12010478E-12  0.65091601E-13  
   95  0.42384362E-01 -0.17347235E-17 -0.17076184E-17 -0.28705927E-11 -0.87410206E-13  0.40531535E-13  
   96  0.42905679E-01 -0.10977547E-17 -0.15314356E-17 -0.30127012E-11  0.10181056E-13  0.65055506E-13  
   97  0.43426996E-01 -0.17211709E-17 -0.10435446E-17 -0.41779913E-11 -0.82490075E-13  0.13482174E-12  
   98  0.43948313E-01 -0.15178830E-17 -0.86736174E-18 -0.44337867E-11 -0.49298987E-13  0.15586888E-12  
   99  0.44469630E-01 -0.10570971E-17 -0.19786690E-17 -0.52011728E-11  0.20791257E-13 -0.14541988E-13  
  100  0.44990947E-01 -0.17347235E-17 -0.13823578E-17 -0.52580162E-11 -0.80396792E-13  0.74365746E-13  
