%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
   52  0.19303304E-01 -0.37220569E-01  0.19303304E-01  0.10451492E-12 -0.48407996E+03  0.12909109E-09  
   53  0.19777516E-01 -0.38109311E-01  0.19777516E-01 -0.97237657E-13 -0.49338919E+03  0.12899712E-09  
   54  0.20251729E-01 -0.38998053E-01  0.20251729E-01  0.12509263E-12 -0.50269842E+03  0.12897809E-09  
   55  0.20725941E-01 -0.39886796E-01  0.20725941E-01  0.10588022E-14 -0.51200765E+03  0.12885923E-09  
   56  0.21200153E-01 -0.40775538E-01  0.21200153E-01  0.20702954E-12 -0.52131688E+03  0.12868262E-09  
   57  0.21674366E-01 -0.41664280E-01  0.21674366E-01  0.11145245E-12 -0.53062611E+03  0.12863588E-09  
   58  0.22148578E-01 -0.42553022E-01  0.22148578E-01  0.48981269E-13 -0.53993534E+03  0.12843952E-09  
   59  0.22622790E-01 -0.43441765E-01  0.22622790E-01  0.25395780E-12 -0.54924457E+03  0.12823562E-09  
   60  0.23097003E-01 -0.44330507E-01  0.23097003E-01 -0.13148638E-12 -0.55855380E+03  0.12815403E-09  
   61  0.23571215E-01 -0.45219249E-01  0.23571215E-01  0.36499493E-13 -0.56786303E+03  0.12817430E-09  
   62  0.24045427E-01 -0.46107991E-01  0.24045427E-01 -0.25976143E-12 -0.57717226E+03  0.12796941E-09  
   63  0.24519640E-01 -0.46996734E-01  0.24519640E-01 -0.76694831E-13 -0.58648149E+03  0.12803723E-09  
   64  0.24993852E-01 -0.47885476E-01  0.24993852E-01 -0.12075861E-12 -0.59579072E+03  0.12779429E-09  
   65  0.25468064E-01 -0.48774218E-01  0.25468064E-01 -0.35507717E-12 -0.60509995E+03  0.12754446E-09  
   66  0.25942277E-01 -0.49662960E-01  0.25942277E-01  0.22179328E-12 -0.61440918E+03  0.12759246E-09  
   67  0.26416489E-01 -0.50551703E-01  0.26416489E-01  0.34081190E-12 -0.62371841E+03  0.12772570E-09  
   68  0.26890701E-01 -0.51440445E-01  0.26890701E-01  0.17714302E-12 -0.63302764E+03  0.12759625E-09  
   69  0.27364914E-01 -0.52329187E-01  0.27364914E-01  0.20188358E-12 -0.64233687E+03  0.12739623E-09  
   70  0.27839126E-01 -0.53217929E-01  0.27839126E-01 -0.41216001E-12 -0.65164610E+03  0.12711595E-09  
   71  0.28313339E-01 -0.54106672E-01  0.28313339E-01 -0.18946005E-12 -0.66095533E+03  0.12723117E-09  
   72  0.28787551E-01 -0.54995414E-01  0.28787551E-01 -0.15305511E-12 -0.67026456E+03  0.12712424E-09  
   73  0.29261763E-01 -0.55884156E-01  0.29261763E-01 -0.12726171E-12 -0.67957379E+03  0.12694938E-09  
   74  0.29735976E-01 -0.56772898E-01  0.29735976E-01 -0.15011261E-12 -0.68888302E+03  0.12725905E-09  
