%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
   52  0.20592354E-01 -0.30510527E-01  0.20592354E-01  0.98282843E-13 -0.48407996E+03 -0.10496243E-13  
   53  0.21113670E-01 -0.31244831E-01  0.21113670E-01  0.53561302E-13 -0.49338919E+03 -0.33672775E-13  
   54  0.21634987E-01 -0.31979135E-01  0.21634987E-01  0.40909887E-13 -0.50269842E+03  0.97517506E-13  
   55  0.22156304E-01 -0.32713439E-01  0.22156304E-01 -0.52491242E-13 -0.51200765E+03 -0.26605084E-13  
   56  0.22677621E-01 -0.33447743E-01  0.22677621E-01  0.10208435E-12 -0.52131688E+03 -0.52562873E-13  
   57  0.23198938E-01 -0.34182047E-01  0.23198938E-01 -0.17696211E-12 -0.53062611E+03 -0.13726358E-12  
   58  0.23720255E-01 -0.34916350E-01  0.23720255E-01 -0.10625809E-12 -0.53993534E+03 -0.61750613E-13  
   59  0.24241572E-01 -0.35650654E-01  0.24241572E-01  0.86133377E-13 -0.54924457E+03  0.59439881E-13  
   60  0.24762889E-01 -0.36384958E-01  0.24762889E-01  0.45791563E-13 -0.55855380E+03  0.17850026E-12  
   61  0.25284205E-01 -0.37119262E-01  0.25284205E-01  0.15203518E-12 -0.56786303E+03  0.39032325E-13  
   62  0.25805522E-01 -0.37853566E-01  0.25805522E-01 -0.28233706E-12 -0.57717226E+03 -0.12218456E-12  
   63  0.26326839E-01 -0.38587870E-01  0.26326839E-01  0.78477145E-13 -0.58648149E+03  0.72864482E-13  
   64  0.26848156E-01 -0.39322174E-01  0.26848156E-01  0.41451110E-13 -0.59579072E+03  0.11290730E-12  
   65  0.27369473E-01 -0.40056477E-01  0.27369473E-01  0.16760320E-12 -0.60509995E+03  0.14789123E-12  
   66  0.27890790E-01 -0.40790781E-01  0.27890790E-01 -0.98452842E-13 -0.61440918E+03  0.13044669E-12  
   67  0.28412107E-01 -0.41525085E-01  0.28412107E-01  0.38564414E-13 -0.62371841E+03 -0.58915738E-13  
   68  0.28933424E-01 -0.42259389E-01  0.28933424E-01  0.74452801E-13 -0.63302764E+03  0.15501795E-12  
   69  0.29454740E-01 -0.42993693E-01  0.29454740E-01  0.22112290E-12 -0.64233687E+03 -0.46617705E-14  
   70  0.29976057E-01 -0.43727997E-01  0.29976057E-01  0.75942707E-14 -0.65164610E+03 -0.45379065E-13  
   71  0.30497374E-01 -0.44462300E-01  0.30497374E-01  0.38329554E-13 -0.66095533E+03 -0.20322501E-14  
   72  0.31018691E-01 -0.45196604E-01  0.31018691E-01  0.13212734E-12 -0.67026456E+03  0.17061284E-12  
   73  0.31540008E-01 -0.45930908E-01  0.31540008E-01  0.30829449E-13 -0.67957379E+03  0.28466714E-13  
   74  0.32061325E-01 -0.46665212E-01  0.32061325E-01  0.27169464E-12 -0.68888302E+03  0.16817605E-12  
   75  0.32582642E-01 -0.47399516E-01  0.32582642E-01  0.10882514E-12 -0.69819225E+03 -0.12554782E-13  
   76  0.33103959E-01 -0.48133820E-01  0.33103959E-01 -0.30337100E-12 -0.70750148E+03 -0.18500001E-12  
   77  0.33625276E-01 -0.48868124E-01  0.33625276E-01 -0.18735799E-12 -0.71681071E+03 -0.18398607E-12  
   78  0.34146592E-01 -0.49602427E-01  0.34146592E-01 -0.45448459E-12 -0.72611994E+03 -0.30671686E-12  
   79  0.34667909E-01 -0.50336731E-01  0.34667909E-01 -0.41275101E-12 -0.73542917E+03 -0.55690611E-12  
   80  0.35189226E-01 -0.51071035E-01  0.35189226E-01 -0.85344073E-12 -0.74473840E+03 -0.87173049E-12  
   81  0.35710543E-01 -0.51805339E-01  0.35710543E-01 -0.58591729E-12 -0.75404763E+03 -0.90931784E-12  
   82  0.36231860E-01 -0.52539643E-01  0.36231860E-01 -0.12867550E-11 -0.76335686E+03 -0.10645868E-11  
   83  0.36753177E-01 -0.53273947E-01  0.36753177E-01 -0.10327058E-11 -0.77266609E+03 -0.93125498E-12  
   84  0.37274494E-01 -0.54008251E-01  0.37274494E-01 -0.11083996E-11 -0.78197532E+03 -0.11930975E-11  
   85  0.37795811E-01 -0.54742554E-01  0.37795811E-01 -0.11722705E-11 -0.79128455E+03 -0.13210741E-11  
   86  0.38317127E-01 -0.55476858E-01  0.38317127E-01 -0.15897244E-11 -0.80059378E+03 -0.17520805E-11  
   87  0.38838444E-01 -0.56211162E-01  0.38838444E-01 -0.16265666E-11 -0.80990301E+03 -0.16565649E-11  
   88  0.39359761E-01 -0.56945466E-01  0.39359761E-01 -0.16076979E-11 -0.81921224E+03 -0.15787020E-11  
   89  0.39881078E-01 -0.57679770E-01  0.39881078E-01 -0.20833964E-11 -0.82852147E+03 -0.16535380E-11  
   90  0.40402395E-01 -0.58414074E-01  0.40402395E-01 -0.18046849E-11 -0.83783070E+03 -0.17570973E-11  
   91  0.40923712E-01 -0.59148377E-01  0.40923712E-01 -0.26210643E-11 -0.84713993E+03 -0.24959753E-11  
   92  0.41445029E-01 -0.59882681E-01  0.41445029E-01 -0.24392534E-11 -0.85644916E+03 -0.23821412E-11  
   93  0.41966346E-01 -0.60616985E-01  0.41966346E-01 -0.23950869E-11 -0.86575839E+03 -0.22706628E-11  
   94  0.42487662E-01 -0.61351289E-01  0.42487662E-01 -0.25159488E-11 -0.87506762E+03 -0.25209335E-11  
   95  0.43008979E-01 -0.62085593E-01  0.43008979E-01 -0.24866401E-11 -0.88437685E+03 -0.23633053E-11  
   96  0.43530296E-01 -0.62819897E-01  0.43530296E-01 -0.30970649E-11 -0.89368608E+03 -0.29774146E-11  
   97  0.44051613E-01 -0.63554201E-01  0.44051613E-01 -0.29556856E-11 -0.90299531E+03 -0.29366772E-11  
   98  0.44572930E-01 -0.64288504E-01  0.44572930E-01 -0.27716389E-11 -0.91230454E+03 -0.28844498E-11  
   99  0.45094247E-01 -0.65022808E-01  0.45094247E-01 -0.29045375E-11 -0.92161377E+03 -0.27900919E-11  
  100  0.45615564E-01 -0.65757112E-01  0.45615564E-01 -0.31699038E-11 -0.93092300E+03 -0.28135758E-11  
