step,element,von,eps,yystress,yystrain
1,1,37.237,0.0,-37.237,-0.00018618
2,1,74.474,0.0,-74.474,-0.00037237
3,1,111.71,0.0,-111.71,-0.00055855
4,1,148.95,0.0,-148.95,-0.00074474
5,1,186.18,0.0,-186.18,-0.00093092
6,1,223.42,0.0023422,-223.42,-0.0034593
7,1,260.66,0.0060659,-260.66,-0.0073692
8,1,297.9,0.0097896,-297.9,-0.011279
9,1,335.13,0.013513,-335.13,-0.015189
10,1,372.37,0.017237,-372.37,-0.019099
11,1,409.61,0.020961,-409.61,-0.023009
12,1,446.84,0.024684,-446.84,-0.026919
13,1,484.08,0.028408,-484.08,-0.030828
14,1,521.32,0.032132,-521.32,-0.034738
15,1,558.55,0.035855,-558.55,-0.038648
16,1,595.79,0.039579,-595.79,-0.042558
17,1,633.03,0.043303,-633.03,-0.046468
18,1,670.27,0.047027,-670.27,-0.050378
19,1,707.5,0.05075,-707.5,-0.054288
20,1,744.74,0.054474,-744.74,-0.058198
21,1,781.98,0.058198,-781.98,-0.062107
22,1,819.21,0.061921,-819.21,-0.066017
23,1,856.45,0.065645,-856.45,-0.069927
24,1,893.69,0.069369,-893.69,-0.073837
25,1,930.92,0.073092,-930.92,-0.077747
26,1,968.16,0.076816,-968.16,-0.081657
27,1,1005.4,0.08054,-1005.4,-0.085567
28,1,1042.6,0.084263,-1042.6,-0.089477
29,1,1079.9,0.087987,-1079.9,-0.093387
30,1,1117.1,0.091711,-1117.1,-0.097296
31,1,1154.3,0.095435,-1154.3,-0.10121
32,1,1191.6,0.099158,-1191.6,-0.10512
33,1,1228.8,0.10288,-1228.8,-0.10903
34,1,1266.1,0.10661,-1266.1,-0.11294
35,1,1303.3,0.11033,-1303.3,-0.11685
36,1,1340.5,0.11405,-1340.5,-0.12076
37,1,1377.8,0.11778,-1377.8,-0.12467
38,1,1415.0,0.1215,-1415.0,-0.12858
39,1,1452.2,0.12522,-1452.2,-0.13249
40,1,1489.5,0.12895,-1489.5,-0.1364
41,1,1526.7,0.13267,-1526.7,-0.14031
42,1,1564.0,0.1364,-1564.0,-0.14421
43,1,1601.2,0.14012,-1601.2,-0.14812
44,1,1638.4,0.14384,-1638.4,-0.15203
45,1,1675.7,0.14757,-1675.7,-0.15594
46,1,1712.9,0.15129,-1712.9,-0.15985
47,1,1750.1,0.15501,-1750.1,-0.16376
48,1,1787.4,0.15874,-1787.4,-0.16767
49,1,1824.6,0.16246,-1824.6,-0.17158
50,1,1861.8,0.16618,-1861.8,-0.17549
51,1,1899.1,0.16991,-1899.1,-0.1794
52,1,1936.3,0.17363,-1936.3,-0.18331
53,1,1973.6,0.17736,-1973.6,-0.18722
54,1,2010.8,0.18108,-2010.8,-0.19113
55,1,2048.0,0.1848,-2048.0,-0.19504
56,1,2085.3,0.18853,-2085.3,-0.19895
57,1,2122.5,0.19225,-2122.5,-0.20286
58,1,2159.7,0.19597,-2159.7,-0.20677
59,1,2197.0,0.1997,-2197.0,-0.21068
60,1,2234.2,0.20342,-2234.2,-0.21459
61,1,2271.5,0.20715,-2271.5,-0.2185
62,1,2308.7,0.21087,-2308.7,-0.22241
63,1,2345.9,0.21459,-2345.9,-0.22632
64,1,2383.2,0.21832,-2383.2,-0.23023
65,1,2420.4,0.22204,-2420.4,-0.23414
66,1,2457.6,0.22576,-2457.6,-0.23805
67,1,2494.9,0.22949,-2494.9,-0.24196
68,1,2532.1,0.23321,-2532.1,-0.24587
69,1,2569.4,0.23694,-2569.4,-0.24978
70,1,2606.6,0.24066,-2606.6,-0.25369
71,1,2643.8,0.24438,-2643.8,-0.2576
72,1,2681.1,0.24811,-2681.1,-0.26151
73,1,2718.3,0.25183,-2718.3,-0.26542
74,1,2755.5,0.25555,-2755.5,-0.26933
75,1,2792.8,0.25928,-2792.8,-0.27324
76,1,2830.0,0.263,-2830.0,-0.27715
77,1,2867.2,0.26672,-2867.2,-0.28106
78,1,2904.5,0.27045,-2904.5,-0.28497
79,1,2941.7,0.27417,-2941.7,-0.28888
80,1,2979.0,0.2779,-2979.0,-0.29279
81,1,3016.2,0.28162,-3016.2,-0.2967
82,1,3053.4,0.28534,-3053.4,-0.30061
83,1,3090.7,0.28907,-3090.7,-0.30452
84,1,3127.9,0.29279,-3127.9,-0.30843
85,1,3165.1,0.29651,-3165.1,-0.31234
86,1,3202.4,0.30024,-3202.4,-0.31625
87,1,3239.6,0.30396,-3239.6,-0.32016
88,1,3276.9,0.30769,-3276.9,-0.32407
89,1,3314.1,0.31141,-3314.1,-0.32798
90,1,3351.3,0.31513,-3351.3,-0.33189
91,1,3388.6,0.31886,-3388.6,-0.3358
92,1,3425.8,0.32258,-3425.8,-0.33971
93,1,3463.0,0.3263,-3463.0,-0.34362
94,1,3500.3,0.33003,-3500.3,-0.34753
95,1,3537.5,0.33375,-3537.5,-0.35144
96,1,3574.7,0.33747,-3574.7,-0.35535
97,1,3612.0,0.3412,-3612.0,-0.35926
98,1,3649.2,0.34492,-3649.2,-0.36317
99,1,3686.5,0.34865,-3686.5,-0.36708
100,1,3723.7,0.35237,-3723.7,-0.37099
