%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
    1  0.55855380E-04 -0.18618460E-03  0.55855380E-04 -0.20341437E-16 -0.93092300E+01 -0.14289990E-14  
    2  0.11171076E-03 -0.37236920E-03  0.11171076E-03 -0.40682874E-16 -0.18618460E+02 -0.28579981E-14  
    3  0.16756614E-03 -0.55855380E-03  0.16756614E-03 -0.15044771E-14 -0.27927690E+02 -0.48496837E-14  
    4  0.22342152E-03 -0.74473840E-03  0.22342152E-03 -0.81365748E-16 -0.37236920E+02 -0.57159962E-14  
    5  0.27927690E-03 -0.93092300E-03  0.27927690E-03  0.41677034E-14 -0.46546150E+02 -0.56725657E-14  
    6  0.33513228E-03 -0.11171076E-02  0.33513228E-03 -0.16935540E-15 -0.55855380E+02 -0.80252457E-14  
    7  0.39098766E-03 -0.13032922E-02  0.39098766E-03  0.56101716E-14 -0.65164610E+02 -0.98420279E-14  
    8  0.44684304E-03 -0.14894768E-02  0.44684304E-03  0.71457265E-14 -0.74473840E+02 -0.11611610E-13  
    9  0.50269842E-03 -0.16756614E-02  0.50269842E-03  0.49277978E-14 -0.83783070E+02 -0.14059834E-13  
   10  0.55855380E-03 -0.18618460E-02  0.55855380E-03  0.18371242E-13 -0.93092300E+02 -0.99717752E-14  
   11  0.61440918E-03 -0.20480306E-02  0.61440918E-03  0.99591055E-14 -0.10240153E+03 -0.84862839E-14  
   12  0.67026456E-03 -0.22342152E-02  0.67026456E-03  0.10442781E-13 -0.11171076E+03 -0.12144016E-13  
   13  0.72611994E-03 -0.24203998E-02  0.72611994E-03  0.15349867E-13 -0.12101999E+03 -0.16596229E-13  
   14  0.78197532E-03 -0.26065844E-02  0.78197532E-03  0.16633898E-13 -0.13032922E+03 -0.15207238E-13  
   15  0.83783070E-03 -0.27927690E-02  0.83783070E-03  0.14409805E-13 -0.13963845E+03 -0.16738141E-13  
   16  0.12003289E-02 -0.32796417E-02  0.12003289E-02 -0.15073242E-13 -0.14894768E+03  0.25239864E-15  
   17  0.17216458E-02 -0.39222489E-02  0.17216458E-02 -0.65412986E-14 -0.15825691E+03 -0.84837569E-14  
   18  0.22429627E-02 -0.45648562E-02  0.22429627E-02 -0.72139790E-14 -0.16756614E+03 -0.45586466E-14  
   19  0.27642795E-02 -0.52074634E-02  0.27642795E-02  0.76599136E-15 -0.17687537E+03 -0.61141761E-14  
   20  0.32855964E-02 -0.58500707E-02  0.32855964E-02 -0.19320615E-13 -0.18618460E+03  0.82854863E-16  
   21  0.38069133E-02 -0.64926779E-02  0.38069133E-02 -0.11704353E-13 -0.19549383E+03  0.34770699E-13  
   22  0.43282302E-02 -0.71352852E-02  0.43282302E-02 -0.81526786E-14 -0.20480306E+03  0.32901113E-13  
   23  0.48495471E-02 -0.77778924E-02  0.48495471E-02 -0.63570650E-14 -0.21411229E+03  0.65052887E-14  
   24  0.53708639E-02 -0.84204997E-02  0.53708639E-02 -0.29857117E-13 -0.22342152E+03  0.33788306E-13  
   25  0.58921808E-02 -0.90631069E-02  0.58921808E-02 -0.39502540E-13 -0.23273075E+03  0.66884086E-13  
   26  0.64134977E-02 -0.97057142E-02  0.64134977E-02 -0.30326378E-13 -0.24203998E+03 -0.32081971E-13  
   27  0.69348146E-02 -0.10348321E-01  0.69348146E-02 -0.13239603E-12 -0.25134921E+03 -0.78225451E-13  
   28  0.74561315E-02 -0.10990929E-01  0.74561315E-02 -0.18041758E-14 -0.26065844E+03  0.11326461E-13  
   29  0.79774483E-02 -0.11633536E-01  0.79774483E-02 -0.23753486E-13 -0.26996767E+03  0.80427001E-14  
   30  0.84987652E-02 -0.12276143E-01  0.84987652E-02 -0.10664691E-12 -0.27927690E+03 -0.88691691E-13  
   31  0.90200821E-02 -0.12918750E-01  0.90200821E-02 -0.38538396E-13 -0.28858613E+03 -0.68234838E-13  
   32  0.95413990E-02 -0.13561358E-01  0.95413990E-02 -0.11246122E-12 -0.29789536E+03 -0.80765564E-13  
   33  0.10062716E-01 -0.14203965E-01  0.10062716E-01 -0.95479910E-13 -0.30720459E+03 -0.10794179E-12  
   34  0.10584033E-01 -0.14846572E-01  0.10584033E-01 -0.20414194E-12 -0.31651382E+03 -0.98046643E-13  
   35  0.11105350E-01 -0.15489179E-01  0.11105350E-01 -0.30254893E-12 -0.32582305E+03 -0.13006961E-12  
   36  0.11626667E-01 -0.16131787E-01  0.11626667E-01 -0.22015655E-12 -0.33513228E+03 -0.10237978E-12  
   37  0.12147983E-01 -0.16774394E-01  0.12147983E-01 -0.25931805E-12 -0.34444151E+03 -0.15807982E-12  
   38  0.12669300E-01 -0.17417001E-01  0.12669300E-01 -0.24682518E-12 -0.35375074E+03 -0.18944362E-12  
   39  0.13190617E-01 -0.18059608E-01  0.13190617E-01 -0.25031907E-12 -0.36305997E+03 -0.23599118E-12  
   40  0.13711934E-01 -0.18702216E-01  0.13711934E-01 -0.16112396E-12 -0.37236920E+03 -0.17278294E-12  
   41  0.14233251E-01 -0.19344823E-01  0.14233251E-01 -0.30693367E-12 -0.38167843E+03 -0.22477552E-12  
   42  0.14754568E-01 -0.19987430E-01  0.14754568E-01 -0.45334472E-12 -0.39098766E+03 -0.25765532E-12  
   43  0.15275885E-01 -0.20630037E-01  0.15275885E-01 -0.30092870E-12 -0.40029689E+03 -0.26955295E-12  
   44  0.15797202E-01 -0.21272645E-01  0.15797202E-01 -0.34544049E-12 -0.40960612E+03 -0.25696102E-12  
   45  0.16318518E-01 -0.21915252E-01  0.16318518E-01 -0.31004489E-12 -0.41891535E+03 -0.17857182E-12  
   46  0.16839835E-01 -0.22557859E-01  0.16839835E-01 -0.18885287E-12 -0.42822458E+03 -0.70307247E-13  
   47  0.17361152E-01 -0.23200466E-01  0.17361152E-01 -0.17410491E-12 -0.43753381E+03 -0.12540287E-12  
   48  0.17882469E-01 -0.23843074E-01  0.17882469E-01 -0.52512815E-13 -0.44684304E+03 -0.43418776E-13  
   49  0.18403786E-01 -0.24485681E-01  0.18403786E-01  0.13832628E-13 -0.45615227E+03 -0.13102825E-13  
