step,element,von,eps,yystress,yystrain
1,1,40.24,0.0,-40.24,-0.0002012
2,1,80.48,0.0,-80.48,-0.0004024
3,1,120.72,0.0,-120.72,-0.0006036
4,1,160.96,0.0,-160.96,-0.0008048
5,1,201.2,0.0,-201.2,-0.001006
6,1,241.44,0.0,-241.44,-0.0012072
7,1,281.68,0.0,-281.68,-0.0014084
8,1,321.92,0.0,-321.92,-0.0016096
9,1,362.16,0.0,-362.16,-0.0018108
10,1,402.4,0.0,-402.4,-0.002012
11,1,442.64,0.0,-442.64,-0.0022132
