step,element,von,eps,yystress,yystrain
1,1,3.7237,0.0,-3.7237,-1.8618e-05
2,1,7.4474,0.0,-7.4474,-3.7237e-05
3,1,11.171,0.0,-11.171,-5.5855e-05
4,1,14.895,0.0,-14.895,-7.4474e-05
5,1,18.618,0.0,-18.618,-9.3092e-05
6,1,22.342,0.0,-22.342,-0.00011171
7,1,26.066,0.0,-26.066,-0.00013033
8,1,29.79,0.0,-29.79,-0.00014895
9,1,33.513,0.0,-33.513,-0.00016757
10,1,37.237,0.0,-37.237,-0.00018618
11,1,40.961,0.0,-40.961,-0.0002048
12,1,44.684,0.0,-44.684,-0.00022342
13,1,48.408,0.0,-48.408,-0.00024204
14,1,52.132,0.0,-52.132,-0.00026066
15,1,55.855,0.0,-55.855,-0.00027928
16,1,59.579,0.0,-59.579,-0.0002979
17,1,63.303,0.0,-63.303,-0.00031651
18,1,67.027,0.0,-67.027,-0.00033513
19,1,70.75,0.0,-70.75,-0.00035375
20,1,74.474,0.0,-74.474,-0.00037237
21,1,78.198,0.0,-78.198,-0.00039099
22,1,81.921,0.0,-81.921,-0.00040961
23,1,85.645,0.0,-85.645,-0.00042823
24,1,89.369,0.0,-89.369,-0.00044684
25,1,93.092,0.0,-93.092,-0.00046546
26,1,96.816,0.0,-96.816,-0.00048408
27,1,100.54,0.0,-100.54,-0.0005027
28,1,104.26,0.0,-104.26,-0.00052132
29,1,107.99,0.0,-107.99,-0.00053994
30,1,111.71,0.0,-111.71,-0.00055855
31,1,115.43,0.0,-115.43,-0.00057717
32,1,119.16,0.0,-119.16,-0.00059579
33,1,122.88,0.0,-122.88,-0.00061441
34,1,126.61,0.0,-126.61,-0.00063303
35,1,130.33,0.0,-130.33,-0.00065165
36,1,134.05,0.0,-134.05,-0.00067027
37,1,137.78,0.0,-137.78,-0.00068888
38,1,141.5,0.0,-141.5,-0.0007075
39,1,145.22,0.0,-145.22,-0.00072612
40,1,148.95,0.0,-148.95,-0.00074474
41,1,152.67,0.0,-152.67,-0.00076336
42,1,156.4,0.0,-156.4,-0.00078198
43,1,160.12,0.0,-160.12,-0.00080059
44,1,163.84,0.0,-163.84,-0.00081921
45,1,167.57,0.0,-167.57,-0.00083783
46,1,171.29,0.0,-171.29,-0.00085645
47,1,175.01,0.0,-175.01,-0.00087507
48,1,178.74,0.0,-178.74,-0.00089369
49,1,182.46,0.0,-182.46,-0.00091231
50,1,186.18,0.0,-186.18,-0.00093092
51,1,189.91,0.0,-189.91,-0.00094954
52,1,193.63,0.0,-193.63,-0.00096816
53,1,197.36,0.0,-197.36,-0.00098678
54,1,201.08,0.00010796,-201.08,-0.0011134
55,1,204.8,0.00048033,-204.8,-0.0015043
56,1,208.53,0.0008527,-208.53,-0.0018953
57,1,212.25,0.0012251,-212.25,-0.0022863
58,1,215.97,0.0015974,-215.97,-0.0026773
59,1,219.7,0.0019698,-219.7,-0.0030683
60,1,223.42,0.0023422,-223.42,-0.0034593
61,1,227.15,0.0027145,-227.15,-0.0038503
62,1,230.87,0.0030869,-230.87,-0.0042413
63,1,234.59,0.0034593,-234.59,-0.0046322
64,1,238.32,0.0038317,-238.32,-0.0050232
65,1,242.04,0.004204,-242.04,-0.0054142
66,1,245.76,0.0045764,-245.76,-0.0058052
67,1,249.49,0.0049488,-249.49,-0.0061962
68,1,253.21,0.0053211,-253.21,-0.0065872
69,1,256.94,0.0056935,-256.94,-0.0069782
70,1,260.66,0.0060659,-260.66,-0.0073692
71,1,264.38,0.0064382,-264.38,-0.0077602
72,1,268.11,0.0068106,-268.11,-0.0081511
73,1,271.83,0.007183,-271.83,-0.0085421
74,1,275.55,0.0075554,-275.55,-0.0089331
75,1,279.28,0.0079277,-279.28,-0.0093241
76,1,283.0,0.0083001,-283.0,-0.0097151
77,1,286.72,0.0086725,-286.72,-0.010106
78,1,290.45,0.0090448,-290.45,-0.010497
79,1,294.17,0.0094172,-294.17,-0.010888
80,1,297.9,0.0097896,-297.9,-0.011279
81,1,301.62,0.010162,-301.62,-0.01167
82,1,305.34,0.010534,-305.34,-0.012061
83,1,309.07,0.010907,-309.07,-0.012452
84,1,312.79,0.011279,-312.79,-0.012843
85,1,316.51,0.011651,-316.51,-0.013234
86,1,320.24,0.012024,-320.24,-0.013625
87,1,323.96,0.012396,-323.96,-0.014016
88,1,327.69,0.012769,-327.69,-0.014407
89,1,331.41,0.013141,-331.41,-0.014798
90,1,335.13,0.013513,-335.13,-0.015189
91,1,338.86,0.013886,-338.86,-0.01558
92,1,342.58,0.014258,-342.58,-0.015971
93,1,346.3,0.01463,-346.3,-0.016362
94,1,350.03,0.015003,-350.03,-0.016753
95,1,353.75,0.015375,-353.75,-0.017144
96,1,357.47,0.015747,-357.47,-0.017535
97,1,361.2,0.01612,-361.2,-0.017926
98,1,364.92,0.016492,-364.92,-0.018317
99,1,368.65,0.016865,-368.65,-0.018708
100,1,372.37,0.017237,-372.37,-0.019099
