%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
    1  0.77951400E-04 -0.25983800E-03  0.77951400E-04 -0.98774925E-15 -0.12991900E+02 -0.25743546E-14  
    2  0.15590280E-03 -0.51967600E-03  0.15590280E-03 -0.19754985E-14 -0.25983800E+02 -0.51487091E-14  
    3  0.23385420E-03 -0.77951400E-03  0.23385420E-03 -0.42270320E-14 -0.38975700E+02 -0.91383602E-14  
    4  0.31180560E-03 -0.10393520E-02  0.31180560E-03 -0.39509970E-14 -0.51967600E+02 -0.10297418E-13  
    5  0.38975700E-03 -0.12991900E-02  0.38975700E-03 -0.29987178E-14 -0.64959500E+02 -0.12641815E-13  
    6  0.46770840E-03 -0.15590280E-02  0.46770840E-03  0.12717568E-14 -0.77951400E+02 -0.13085597E-13  
    7  0.54565980E-03 -0.18188660E-02  0.54565980E-03 -0.32673848E-14 -0.90943300E+02 -0.19923477E-13  
    8  0.62361120E-03 -0.20787040E-02  0.62361120E-03  0.66442146E-14 -0.10393520E+03 -0.22848989E-13  
    9  0.70156260E-03 -0.23385420E-02  0.70156260E-03  0.14802651E-14 -0.11692710E+03 -0.17700478E-13  
