%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
   52 -0.23600000E-02  0.52000000E-02 -0.23600000E-02 -0.27131732E-09  0.60000000E+02  0.54588853E-09  
   53 -0.24090476E-02  0.53000000E-02 -0.24090476E-02 -0.27130866E-09  0.60238095E+02  0.54589941E-09  
   54 -0.24580952E-02  0.54000000E-02 -0.24580952E-02 -0.27125391E-09  0.60476190E+02  0.54591510E-09  
   55 -0.25071429E-02  0.55000000E-02 -0.25071429E-02 -0.27124509E-09  0.60714286E+02  0.54593565E-09  
   56 -0.25561905E-02  0.56000000E-02 -0.25561905E-02 -0.27123572E-09  0.60952381E+02  0.54594749E-09  
   57 -0.26052381E-02  0.57000000E-02 -0.26052381E-02 -0.27122453E-09  0.61190476E+02  0.54597253E-09  
   58 -0.26542857E-02  0.58000000E-02 -0.26542857E-02 -0.27125578E-09  0.61428571E+02  0.54595127E-09  
   59 -0.27033333E-02  0.59000000E-02 -0.27033333E-02 -0.27124997E-09  0.61666667E+02  0.54596486E-09  
   60 -0.27523810E-02  0.60000000E-02 -0.27523810E-02 -0.27119108E-09  0.61904762E+02  0.54599263E-09  
   61 -0.28014286E-02  0.61000000E-02 -0.28014286E-02 -0.27120224E-09  0.62142857E+02  0.54599812E-09  
   62 -0.28504762E-02  0.62000000E-02 -0.28504762E-02 -0.27117022E-09  0.62380952E+02  0.54600287E-09  
   63 -0.28995238E-02  0.63000000E-02 -0.28995238E-02 -0.27114523E-09  0.62619048E+02  0.54603096E-09  
   64 -0.29485714E-02  0.64000000E-02 -0.29485714E-02 -0.27116511E-09  0.62857143E+02  0.54602484E-09  
   65 -0.29976190E-02  0.65000000E-02 -0.29976190E-02 -0.27116731E-09  0.63095238E+02  0.54602547E-09  
   66 -0.30466667E-02  0.66000000E-02 -0.30466667E-02 -0.27112311E-09  0.63333333E+02  0.54607050E-09  
   67 -0.30957143E-02  0.67000000E-02 -0.30957143E-02 -0.27114534E-09  0.63571429E+02  0.54605729E-09  
   68 -0.31447619E-02  0.68000000E-02 -0.31447619E-02 -0.27110495E-09  0.63809524E+02  0.54609722E-09  
   69 -0.31938095E-02  0.69000000E-02 -0.31938095E-02 -0.27107812E-09  0.64047619E+02  0.54609178E-09  
   70 -0.32428571E-02  0.70000000E-02 -0.32428571E-02 -0.27110259E-09  0.64285714E+02  0.54610035E-09  
   71 -0.32919048E-02  0.71000000E-02 -0.32919048E-02 -0.27109403E-09  0.64523810E+02  0.54611847E-09  
   72 -0.33409524E-02  0.72000000E-02 -0.33409524E-02 -0.27105493E-09  0.64761905E+02  0.54611528E-09  
   73 -0.33900000E-02  0.73000000E-02 -0.33900000E-02 -0.27108039E-09  0.65000000E+02  0.54612886E-09  
   74 -0.34390476E-02  0.74000000E-02 -0.34390476E-02 -0.27102605E-09  0.65238095E+02  0.54616626E-09  
   75 -0.34880952E-02  0.75000000E-02 -0.34880952E-02 -0.27105832E-09  0.65476190E+02  0.54615755E-09  
   76 -0.35371429E-02  0.76000000E-02 -0.35371429E-02 -0.27108089E-09  0.65714286E+02  0.54614189E-09  
   77 -0.35861905E-02  0.77000000E-02 -0.35861905E-02 -0.27105002E-09  0.65952381E+02  0.54618906E-09  
   78 -0.36352381E-02  0.78000000E-02 -0.36352381E-02 -0.27100867E-09  0.66190476E+02  0.54619761E-09  
   79 -0.36842857E-02  0.79000000E-02 -0.36842857E-02 -0.27103066E-09  0.66428571E+02  0.54620952E-09  
   80 -0.37333333E-02  0.80000000E-02 -0.37333333E-02 -0.27099996E-09  0.66666667E+02  0.54623326E-09  
   81 -0.37823810E-02  0.81000000E-02 -0.37823810E-02 -0.27104044E-09  0.66904762E+02  0.54618145E-09  
   82 -0.38314286E-02  0.82000000E-02 -0.38314286E-02 -0.27109764E-09  0.67142857E+02  0.54617430E-09  
   83 -0.38804762E-02  0.83000000E-02 -0.38804762E-02 -0.27108222E-09  0.67380952E+02  0.54616948E-09  
   84 -0.39295238E-02  0.84000000E-02 -0.39295238E-02 -0.27116154E-09  0.67619048E+02  0.54609758E-09  
   85 -0.39785714E-02  0.85000000E-02 -0.39785714E-02 -0.27119261E-09  0.67857143E+02  0.54604561E-09  
   86 -0.40276190E-02  0.86000000E-02 -0.40276190E-02 -0.27118295E-09  0.68095238E+02  0.54604932E-09  
   87 -0.40766667E-02  0.87000000E-02 -0.40766667E-02 -0.27123627E-09  0.68333333E+02  0.54603150E-09  
   88 -0.41257143E-02  0.88000000E-02 -0.41257143E-02 -0.27127043E-09  0.68571429E+02  0.54602416E-09  
   89 -0.41747619E-02  0.89000000E-02 -0.41747619E-02 -0.27125422E-09  0.68809524E+02  0.54602055E-09  
   90 -0.42238095E-02  0.90000000E-02 -0.42238095E-02 -0.27126493E-09  0.69047619E+02  0.54600687E-09  
   91 -0.42728571E-02  0.91000000E-02 -0.42728571E-02 -0.27135782E-09  0.69285714E+02  0.54591568E-09  
   92 -0.43219048E-02  0.92000000E-02 -0.43219048E-02 -0.27140904E-09  0.69523810E+02  0.54588747E-09  
   93 -0.43709524E-02  0.93000000E-02 -0.43709524E-02 -0.27138208E-09  0.69761905E+02  0.54591124E-09  
   94 -0.44200000E-02  0.94000000E-02 -0.44200000E-02 -0.27146068E-09  0.70000000E+02  0.54583083E-09  
   95 -0.44690476E-02  0.95000000E-02 -0.44690476E-02 -0.27150510E-09  0.70238095E+02  0.54580179E-09  
   96 -0.45180952E-02  0.96000000E-02 -0.45180952E-02 -0.27146174E-09  0.70476190E+02  0.54581083E-09  
   97 -0.45671429E-02  0.97000000E-02 -0.45671429E-02 -0.27149517E-09  0.70714286E+02  0.54581828E-09  
   98 -0.46161905E-02  0.98000000E-02 -0.46161905E-02 -0.27154990E-09  0.70952381E+02  0.54576988E-09  
   99 -0.46652381E-02  0.99000000E-02 -0.46652381E-02 -0.27156234E-09  0.71190476E+02  0.54576413E-09  
  100 -0.47142857E-02  0.10000000E-01 -0.47142857E-02 -0.27162854E-09  0.71428571E+02  0.54574417E-09  
