% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   51 -0.23109524E-02 -0.23716923E-19 -0.48822096E-13  0.69516535E-08 -0.47746632E-14 -0.10564977E-08  
   52 -0.23600000E-02  0.67762636E-20 -0.49246095E-13  0.69516162E-08 -0.70371250E-16 -0.10387153E-08  
   53 -0.24090476E-02  0.13552527E-19 -0.49658463E-13  0.69516801E-08  0.88104576E-15 -0.10214276E-08  
   54 -0.24580952E-02  0.18634725E-19 -0.50059435E-13  0.69518027E-08  0.15041234E-14 -0.10046089E-08  
   55 -0.25071429E-02  0.67762636E-20 -0.50449541E-13  0.69519039E-08 -0.28286047E-15 -0.98827653E-09  
   56 -0.25561905E-02  0.10164395E-19 -0.50828595E-13  0.69518826E-08  0.22055046E-15 -0.97234795E-09  
   57 -0.26052381E-02 -0.35575384E-19 -0.51197456E-13  0.69519981E-08 -0.61385985E-14 -0.95689332E-09  
   58 -0.26542857E-02 -0.69456702E-19 -0.51556105E-13  0.69518471E-08 -0.10229195E-13 -0.94185460E-09  
   59 -0.27033333E-02 -0.42351647E-19 -0.51904957E-13  0.69519537E-08 -0.54637802E-14 -0.92723986E-09  
   60 -0.27523810E-02 -0.35575384E-19 -0.52244211E-13  0.69521064E-08 -0.39898916E-14 -0.91302666E-09  
   61 -0.28014286E-02 -0.52516043E-19 -0.52574137E-13  0.69521242E-08 -0.59521896E-14 -0.89920474E-09  
   62 -0.28504762E-02 -0.55904175E-19 -0.52894993E-13  0.69522041E-08 -0.58443317E-14 -0.88576355E-09  
   63 -0.28995238E-02 -0.77927031E-19 -0.53206866E-13  0.69522930E-08 -0.83340385E-14 -0.87266995E-09  
   64 -0.29485714E-02 -0.13891340E-18 -0.53510204E-13  0.69522592E-08 -0.15985550E-13 -0.85994453E-09  
   65 -0.29976190E-02 -0.11011428E-18 -0.53805332E-13  0.69522770E-08 -0.10438761E-13 -0.84758893E-09  
   66 -0.30466667E-02 -0.12366681E-18 -0.54092239E-13  0.69524386E-08 -0.11316862E-13 -0.83555807E-09  
   67 -0.30957143E-02 -0.16093626E-18 -0.54370942E-13  0.69523391E-08 -0.15402588E-13 -0.82381549E-09  
